event_id,duration,protocol_type,service,src_bytes,class_attack
140,0,tcp,private,0,neptune
141,0,tcp,http,261,normal
142,0,tcp,bgp,0,neptune
143,0,tcp,netbios_dgm,0,neptune
144,0,tcp,http,294,normal
145,0,tcp,http,221,normal
146,0,tcp,http,284,normal
147,0,tcp,gopher,0,nmap
148,0,tcp,http,309,normal
149,0,tcp,ftp_data,334,warezclient
150,0,tcp,telnet,0,neptune
151,0,tcp,private,0,neptune
152,0,tcp,http,214,normal
153,0,tcp,vmnet,0,neptune
154,0,tcp,systat,0,neptune
155,0,tcp,http_443,0,neptune
156,0,udp,domain_u,46,normal
157,0,tcp,ftp_data,748,normal
158,0,tcp,efs,0,neptune
159,0,icmp,eco_i,8,ipsweep
160,0,tcp,whois,0,neptune
161,0,tcp,http,329,normal
162,0,tcp,ftp_data,9,normal
163,0,udp,domain_u,46,normal
164,0,tcp,ftp_data,1766,normal
165,0,tcp,remote_job,0,neptune
166,9015,tcp,other,1,portsweep
167,7,tcp,finger,8,normal
168,0,tcp,http,266,normal
169,0,tcp,ftp_data,245,normal
170,0,tcp,http,295,normal
171,0,tcp,gopher,0,neptune
172,0,tcp,http,228,normal
173,0,icmp,ecr_i,1032,smurf
174,0,tcp,imap4,0,neptune
175,0,tcp,private,0,neptune
176,0,tcp,whois,0,neptune
177,0,tcp,http,0,normal
178,0,tcp,other,0,satan
179,0,udp,other,1,satan
180,0,tcp,iso_tsap,0,neptune
181,0,icmp,ecr_i,30,normal
182,1,tcp,smtp,2078,normal
183,0,tcp,ftp_data,19,normal
184,0,tcp,smtp,661,normal
185,0,udp,private,28,teardrop
186,0,tcp,ftp_data,0,neptune
187,0,tcp,private,0,neptune
188,0,tcp,private,0,neptune
189,0,tcp,smtp,1075,normal
190,0,tcp,http,223,normal
191,15159,tcp,ftp,350,warezclient
192,0,tcp,http,233,normal
193,0,tcp,private,0,neptune
194,0,tcp,echo,0,neptune
195,0,tcp,http,201,normal
196,0,tcp,http,271,normal
197,0,tcp,ftp_data,14416,normal
198,0,tcp,http,227,normal
199,0,tcp,private,0,portsweep
200,0,tcp,http,225,normal
201,0,tcp,http,176,normal
202,0,tcp,klogin,0,neptune
203,0,tcp,http,227,normal
204,0,tcp,smtp,855,normal
205,0,tcp,smtp,944,normal
206,0,tcp,smtp,954,normal
207,0,tcp,uucp_path,0,neptune
208,0,tcp,http,166,normal
209,0,tcp,http,306,normal
210,0,tcp,netbios_ns,0,neptune
211,0,tcp,private,0,satan
212,0,icmp,ecr_i,1480,pod
213,0,tcp,iso_tsap,0,neptune
214,0,tcp,http,313,normal
215,0,tcp,link,0,neptune
216,0,tcp,sunrpc,0,neptune
217,0,tcp,http,285,normal
218,0,tcp,http,226,normal
219,0,tcp,http,256,normal
220,1,tcp,smtp,3740,normal
221,0,tcp,http,224,normal
222,0,tcp,login,0,neptune
223,4,tcp,ftp_data,832,warezclient
224,0,tcp,finger,0,neptune
225,0,icmp,eco_i,8,ipsweep
226,0,tcp,http,201,normal
227,0,tcp,http,285,normal
228,0,tcp,kshell,0,neptune
229,0,tcp,ftp_data,7422,normal
230,0,tcp,http,198,normal
231,20,tcp,smtp,2310,normal
232,0,tcp,http,331,normal
233,0,icmp,urp_i,65,normal
234,0,udp,private,28,teardrop
235,0,udp,domain_u,45,normal
236,0,tcp,ftp,0,neptune
237,0,tcp,auth,0,neptune
238,0,tcp,kshell,0,neptune
239,0,tcp,finger,9,normal
240,0,tcp,http,283,normal
241,0,tcp,http,221,normal
242,0,icmp,eco_i,18,ipsweep
243,0,tcp,vmnet,0,neptune
244,0,tcp,telnet,0,neptune
245,0,tcp,ftp_data,0,neptune
246,0,tcp,http,302,normal
247,0,tcp,private,0,neptune
248,0,icmp,eco_i,8,ipsweep
249,0,tcp,private,0,neptune
250,0,tcp,http,355,normal
251,0,icmp,eco_i,8,ipsweep
252,18,tcp,telnet,106,normal
253,0,tcp,http,286,normal
254,9235,tcp,other,1,portsweep
255,0,tcp,sql_net,0,nmap
256,0,icmp,ecr_i,1032,smurf
257,0,tcp,http,168,normal
258,0,tcp,http,238,normal
259,0,tcp,private,0,portsweep
260,0,tcp,http,291,normal
261,0,tcp,vmnet,0,neptune
262,0,tcp,smtp,749,normal
263,0,tcp,http,198,normal
264,0,tcp,mtp,0,neptune
265,0,tcp,http,167,normal
266,0,tcp,http,241,normal
267,0,tcp,http,337,normal
268,0,tcp,smtp,729,normal
269,0,icmp,eco_i,8,ipsweep
270,0,tcp,csnet_ns,0,neptune
271,0,tcp,http,222,normal
272,0,tcp,auth,0,neptune
273,0,tcp,http,0,normal
274,0,udp,domain_u,46,normal
275,0,tcp,http,246,normal
276,0,tcp,http,222,normal
277,0,tcp,vmnet,0,neptune
278,0,tcp,private,0,neptune
279,409,tcp,telnet,279,normal
280,0,tcp,http,226,normal
281,0,tcp,http,299,normal
282,0,tcp,http,0,neptune
283,0,tcp,ftp_data,12,normal
284,0,tcp,http,281,normal
285,0,tcp,bgp,0,neptune
286,0,udp,domain_u,42,normal
287,0,tcp,ftp,0,neptune
288,0,tcp,time,0,neptune
289,0,tcp,http,263,normal
290,36613,tcp,private,1,portsweep
291,0,tcp,ftp,0,normal
292,0,tcp,private,0,neptune
293,0,tcp,sql_net,0,neptune
294,0,tcp,http,283,normal
295,0,tcp,http,161,normal
296,0,tcp,http,211,normal
297,0,tcp,http,201,normal
298,0,icmp,eco_i,8,nmap
299,0,udp,other,147,normal
300,0,tcp,private,0,neptune
301,0,tcp,ftp_data,567,normal
302,0,tcp,hostnames,0,neptune
303,0,tcp,telnet,0,neptune
304,5043,tcp,ftp_data,5131424,warezclient
305,0,tcp,http,320,normal
306,0,icmp,eco_i,8,ipsweep
307,0,tcp,smtp,0,normal
308,0,tcp,http,204,normal
309,0,tcp,time,0,portsweep
310,0,tcp,ftp_data,10389,normal
311,0,tcp,uucp,0,neptune
312,0,tcp,http,344,normal
313,0,tcp,exec,0,neptune
314,0,tcp,netbios_dgm,0,neptune
315,0,tcp,http,243,normal
316,0,icmp,ecr_i,1032,smurf
317,0,icmp,eco_i,8,ipsweep
318,0,tcp,private,0,satan
319,0,udp,private,105,normal
320,0,tcp,private,0,neptune
321,1,tcp,smtp,1080,normal
322,0,tcp,telnet,0,neptune
323,0,tcp,private,0,neptune
324,0,tcp,Z39_50,0,neptune
325,0,tcp,smtp,657,normal
326,0,tcp,http_443,0,neptune
327,0,tcp,http,284,normal
328,0,tcp,http,261,normal
329,0,tcp,http,317,normal
330,0,udp,domain_u,33,normal
331,0,tcp,private,0,portsweep
332,0,tcp,private,0,portsweep
333,0,udp,domain_u,44,normal
334,0,tcp,http,215,normal
335,0,tcp,private,0,neptune
336,0,tcp,http,332,normal
337,1,tcp,smtp,978,normal
338,0,tcp,http,296,normal
339,0,tcp,telnet,0,neptune
340,0,tcp,private,0,neptune
341,0,tcp,http,214,normal
342,0,tcp,private,0,neptune
343,0,udp,ntp_u,48,normal
344,0,tcp,http,226,normal
345,0,tcp,bgp,0,neptune
346,0,icmp,urp_i,78,normal
347,0,tcp,private,0,neptune
348,0,tcp,http,0,normal
349,0,tcp,discard,0,neptune
350,0,tcp,private,0,ipsweep
351,0,tcp,private,0,portsweep
352,0,tcp,http,294,normal
353,0,tcp,supdup,0,neptune
354,0,tcp,http,220,normal
355,0,tcp,other,0,satan
356,0,tcp,http,196,normal
357,0,tcp,http,0,neptune
358,0,tcp,http,327,normal
359,0,tcp,uucp_path,0,neptune
360,0,tcp,ftp_data,319,normal
361,0,tcp,smtp,1087,normal
362,0,tcp,http,210,normal
363,0,tcp,sql_net,0,neptune
364,0,tcp,http,0,normal
365,0,tcp,http,234,normal
366,0,icmp,eco_i,8,ipsweep
367,0,tcp,http,54540,back
368,0,tcp,http,237,normal
369,0,tcp,ftp_data,0,neptune
370,0,tcp,private,0,neptune
371,0,tcp,http,200,normal
372,0,tcp,http,219,normal
373,0,tcp,http,284,normal
374,0,tcp,nntp,0,neptune
375,0,tcp,http,325,normal
376,0,tcp,courier,0,neptune
377,0,icmp,eco_i,30,normal
378,0,tcp,http,335,normal
379,0,udp,domain_u,36,normal
380,0,tcp,private,0,neptune
381,0,udp,domain_u,43,normal
382,0,tcp,courier,0,neptune
383,0,tcp,http,0,normal
384,0,tcp,private,0,neptune
385,0,tcp,private,0,neptune
386,0,tcp,http,216,normal
387,0,tcp,uucp,0,neptune
388,0,udp,domain_u,44,normal
389,0,tcp,http,347,normal
390,1,tcp,smtp,570,normal
391,0,tcp,http,219,normal
392,0,udp,other,146,normal
393,0,tcp,ftp,0,neptune
394,0,tcp,private,0,neptune
395,0,tcp,private,0,neptune
396,0,tcp,private,0,neptune
397,31401,tcp,private,1,portsweep
398,0,tcp,private,0,neptune
399,0,icmp,eco_i,18,ipsweep
400,0,tcp,time,0,normal
401,0,tcp,http,233,normal
402,0,tcp,finger,0,neptune
403,0,tcp,ftp_data,276,normal
404,0,udp,domain_u,44,normal
405,0,icmp,eco_i,8,ipsweep
406,7805,tcp,telnet,1828,normal
407,0,tcp,http,200,normal
408,0,udp,domain_u,46,normal
409,0,tcp,private,0,neptune
410,0,tcp,telnet,0,neptune
411,0,tcp,http,216,normal
412,0,tcp,exec,0,neptune
413,0,tcp,http,234,normal
414,0,tcp,http,220,normal
415,0,tcp,login,0,neptune
416,0,udp,private,105,normal
417,0,tcp,http,0,normal
418,0,tcp,Z39_50,0,neptune
419,0,tcp,private,0,neptune
420,0,tcp,private,0,neptune
421,0,tcp,http,288,normal
422,0,tcp,uucp,0,neptune
423,0,tcp,private,0,neptune
424,0,udp,private,1,satan
425,0,udp,private,28,teardrop
426,0,tcp,http,279,normal
427,0,icmp,ecr_i,1032,smurf
428,0,tcp,ftp_data,192,normal
429,7,tcp,telnet,105,normal
430,0,tcp,private,0,ipsweep
431,10,tcp,smtp,1330,normal
432,0,icmp,ecr_i,520,smurf
433,0,tcp,ftp_data,0,neptune
434,0,tcp,http,230,normal
435,0,udp,domain_u,44,normal
436,0,tcp,http,271,normal
437,0,tcp,http,179,normal
438,0,tcp,ftp_data,852,normal
439,0,tcp,http,222,normal
440,0,tcp,http,314,normal
441,0,tcp,login,0,neptune
442,0,tcp,http,230,normal
443,0,tcp,whois,0,neptune
444,0,tcp,ctf,0,neptune
445,0,tcp,smtp,857,normal
446,0,tcp,http,234,normal
447,0,icmp,ecr_i,1032,smurf
448,0,udp,private,28,teardrop
449,0,tcp,private,0,neptune
450,0,tcp,http,215,normal
451,0,udp,domain_u,46,normal
452,0,udp,private,105,normal
453,0,tcp,private,0,neptune
454,0,tcp,private,0,neptune
455,0,tcp,csnet_ns,0,neptune
456,0,tcp,http,305,normal
457,0,tcp,private,0,neptune
458,0,tcp,http,336,normal
459,0,tcp,csnet_ns,0,neptune
460,0,tcp,private,0,neptune
461,5784,udp,other,147,normal
462,0,tcp,http,335,normal
463,0,tcp,telnet,0,neptune
464,0,tcp,http,339,normal
465,0,tcp,http,317,normal
466,0,tcp,private,0,neptune
467,0,tcp,http,54540,back
468,0,tcp,vmnet,0,neptune
469,0,udp,domain_u,42,normal
470,0,tcp,smtp,986,normal
471,0,tcp,private,0,neptune
472,0,icmp,urp_i,183,normal
473,0,tcp,private,0,neptune
474,0,tcp,http,405,normal
475,0,tcp,link,0,neptune
476,0,tcp,smtp,785,normal
477,0,tcp,http,258,normal
478,0,tcp,login,0,neptune
479,0,icmp,eco_i,8,ipsweep
480,0,tcp,http,318,normal
481,0,tcp,private,0,neptune
482,0,tcp,ssh,0,neptune
483,0,tcp,time,0,neptune
484,0,tcp,http,216,normal
485,1,tcp,private,0,portsweep
486,0,tcp,http,291,normal
487,0,tcp,http,224,normal
488,0,tcp,ftp_data,0,satan
489,0,tcp,domain,0,neptune
490,542,udp,domain_u,17,normal
491,0,tcp,private,0,neptune
492,0,udp,domain_u,29,normal
493,0,udp,private,105,normal
494,0,icmp,eco_i,30,normal
495,0,tcp,http,325,normal
496,0,tcp,login,0,neptune
497,0,tcp,http,0,normal
498,0,tcp,ftp_data,12,normal
499,0,tcp,http,212,normal
500,0,tcp,http,240,normal
501,0,tcp,http,292,normal
502,0,tcp,http,172,normal
503,0,tcp,private,0,neptune
504,0,tcp,http,310,normal
505,0,udp,domain_u,44,normal
506,0,udp,other,145,normal
507,1,tcp,ftp,1238,warezclient
508,0,icmp,eco_i,8,ipsweep
509,0,udp,domain_u,45,normal
510,0,tcp,private,0,portsweep
511,2,tcp,smtp,1551,normal
512,4,tcp,smtp,1308,normal
513,0,tcp,http,356,normal
514,0,tcp,http,364,normal
515,0,tcp,http,331,normal
516,0,icmp,eco_i,30,normal
517,0,tcp,private,0,neptune
518,0,tcp,exec,0,neptune
519,0,tcp,http,247,normal
520,0,tcp,http,300,normal
521,0,tcp,mtp,0,neptune
522,0,tcp,http,355,normal
523,0,tcp,finger,0,neptune
524,0,tcp,http,316,normal
525,0,udp,domain_u,44,normal
526,30,tcp,ftp,1458,normal
527,0,tcp,uucp_path,0,neptune
528,10455,udp,other,146,normal
529,0,tcp,private,0,portsweep
530,0,tcp,Z39_50,0,neptune
531,0,udp,private,1,satan
532,0,tcp,telnet,0,neptune
533,0,tcp,imap4,0,neptune
534,10326,udp,other,146,normal
535,0,tcp,private,0,neptune
536,0,tcp,smtp,13794,normal
537,0,tcp,finger,0,neptune
538,0,tcp,smtp,911,normal
539,0,tcp,smtp,0,neptune
540,0,tcp,http,280,normal
541,0,tcp,daytime,0,neptune
542,0,tcp,private,0,neptune
543,0,udp,domain_u,41,normal
544,0,tcp,finger,10,normal
545,0,tcp,http,311,normal
546,0,tcp,http,281,normal
547,0,tcp,http,297,normal
548,0,tcp,ldap,0,neptune
549,0,udp,domain_u,43,normal
550,0,tcp,finger,0,neptune
551,0,tcp,ftp_data,334,warezclient
552,0,icmp,eco_i,8,ipsweep
553,0,tcp,http,215,normal
554,0,tcp,Z39_50,0,neptune
555,0,tcp,http,0,normal
556,0,udp,other,516,normal
557,0,tcp,private,0,ipsweep
558,0,tcp,bgp,0,neptune
559,0,tcp,private,0,neptune
560,0,tcp,time,0,neptune
561,28,udp,domain_u,44,normal
562,0,tcp,time,0,neptune
563,0,tcp,smtp,676,normal
564,0,tcp,http,334,normal
565,0,tcp,private,0,neptune
566,0,tcp,private,0,neptune
567,0,tcp,http,204,normal
568,0,icmp,ecr_i,520,smurf
569,0,tcp,Z39_50,0,neptune
570,0,tcp,http,192,normal
571,0,icmp,eco_i,18,ipsweep
572,0,tcp,uucp,0,neptune
573,0,tcp,netbios_dgm,0,neptune
574,0,tcp,ftp,0,neptune
575,0,tcp,http,256,normal
576,0,icmp,eco_i,64,normal
577,0,udp,domain_u,46,normal
578,0,tcp,private,0,neptune
579,0,tcp,http,220,normal
580,0,udp,domain_u,41,normal
581,0,tcp,http,248,normal
582,0,tcp,ftp,1250,warezclient
583,0,tcp,whois,0,neptune
584,0,udp,domain_u,44,normal
585,202,tcp,telnet,209,normal
586,0,tcp,other,5891,normal
587,0,icmp,eco_i,8,ipsweep
588,0,tcp,http,276,normal
589,0,tcp,http,231,normal
590,0,tcp,http,0,neptune
591,0,tcp,http,312,normal
592,41285,tcp,remote_job,1,portsweep
593,0,tcp,discard,0,neptune
594,0,udp,domain_u,29,normal
595,0,tcp,ftp_data,13239,normal
596,0,tcp,ftp_data,0,neptune
597,0,tcp,finger,8,normal
598,0,tcp,shell,0,neptune
599,0,udp,domain_u,44,normal
600,0,tcp,private,0,neptune
601,0,tcp,private,0,neptune
602,0,tcp,http,324,normal
603,0,tcp,private,0,neptune
604,0,icmp,eco_i,18,ipsweep
605,0,tcp,http,355,normal
606,13488,tcp,other,1,portsweep
607,0,tcp,private,0,neptune
608,0,tcp,http,54540,back
609,0,tcp,http,205,normal
610,0,tcp,netbios_ns,0,neptune
611,0,tcp,http,325,normal
612,0,tcp,systat,0,neptune
613,0,tcp,http,232,normal
614,4,tcp,smtp,886,normal
615,0,tcp,http,319,normal
616,0,tcp,supdup,0,neptune
617,0,tcp,private,0,ipsweep
618,0,tcp,http,147,normal
619,1,tcp,smtp,1451,normal
620,0,tcp,http,54540,back
621,0,tcp,http,235,normal
622,25,tcp,private,0,portsweep
623,0,tcp,private,0,portsweep
624,0,tcp,http,299,normal
625,0,tcp,private,0,neptune
626,0,tcp,kshell,0,neptune
627,0,tcp,hostnames,0,neptune
628,0,tcp,private,0,neptune
629,0,tcp,http,237,normal
630,0,tcp,uucp,0,neptune
631,3047,udp,other,146,normal
632,0,tcp,csnet_ns,0,portsweep
633,1327,udp,other,146,normal
634,0,tcp,http,202,normal
635,0,tcp,echo,0,neptune
636,0,tcp,ftp_data,383,normal
637,0,tcp,http,345,normal
638,0,tcp,http,278,normal
639,0,tcp,domain,0,neptune
640,0,tcp,http,196,normal
641,0,tcp,klogin,0,neptune
642,0,tcp,http,277,normal
643,0,tcp,http,203,normal
644,0,tcp,private,0,portsweep
645,860,udp,other,147,normal
646,0,tcp,finger,0,neptune
647,0,tcp,ftp,0,neptune
648,0,tcp,ctf,0,neptune
649,0,tcp,private,0,neptune
650,0,tcp,http,367,normal
651,0,tcp,ssh,0,portsweep
652,0,tcp,http,257,normal
653,0,icmp,eco_i,8,ipsweep
654,0,udp,domain_u,44,normal
655,0,udp,domain_u,128,normal
656,0,tcp,http,254,normal
657,0,tcp,http,225,normal
658,0,tcp,smtp,775,normal
659,475,tcp,http,314,normal
660,0,tcp,supdup,0,neptune
661,8,tcp,smtp,525,normal
662,0,tcp,other,0,satan
663,0,udp,other,1,satan
664,0,tcp,http,213,normal
665,0,tcp,http,190,normal
666,0,tcp,private,0,neptune
667,0,udp,private,28,teardrop
668,0,tcp,iso_tsap,0,neptune
669,27,tcp,ftp,1067,normal
670,0,udp,domain_u,126,normal
671,0,tcp,http,333,normal
672,0,tcp,netbios_ns,0,neptune
673,0,tcp,ftp_data,4491,normal
674,0,tcp,ldap,0,neptune
675,0,tcp,http,54540,back
676,0,tcp,http,239,normal
677,0,tcp,http,0,normal
678,2,tcp,smtp,1258,normal
679,0,tcp,telnet,0,neptune
680,0,tcp,private,0,neptune
681,0,tcp,http,0,normal
682,0,udp,domain_u,42,normal
683,0,tcp,http,224,normal
684,0,tcp,http,231,normal
685,5065,udp,other,147,normal
686,0,udp,domain_u,44,normal
687,0,icmp,urp_i,183,normal
688,0,tcp,auth,0,neptune
689,0,tcp,private,0,neptune
690,0,tcp,telnet,125,guess_passwd
691,0,tcp,auth,13,normal
692,0,tcp,http,233,normal
693,0,icmp,eco_i,30,normal
694,0,tcp,nntp,0,neptune
695,0,tcp,http,278,normal
696,0,tcp,private,0,portsweep
697,0,tcp,imap4,0,neptune
698,0,tcp,http,237,normal
699,0,tcp,http,301,normal
700,0,tcp,http,246,normal
701,0,tcp,http,230,normal
702,0,udp,domain_u,46,normal
703,1985,udp,other,147,normal
704,0,tcp,private,0,neptune
705,0,tcp,ftp_data,641,normal
706,0,udp,private,28,teardrop
707,0,tcp,private,0,neptune
708,0,tcp,shell,82,normal
709,0,tcp,private,0,neptune
710,0,tcp,private,0,satan
711,0,tcp,private,0,neptune
712,0,udp,domain_u,46,normal
713,0,tcp,private,0,neptune
714,0,tcp,private,0,neptune
715,0,tcp,http,376,normal
716,0,tcp,private,0,neptune
717,5,udp,private,105,normal
718,0,tcp,ftp_data,334,warezclient
719,0,tcp,domain,0,neptune
720,0,icmp,eco_i,30,normal
721,0,tcp,smtp,1053,normal
722,0,udp,domain_u,46,normal
723,0,udp,domain_u,45,normal
724,1,tcp,smtp,1539,normal
725,0,tcp,private,0,neptune
726,0,tcp,csnet_ns,0,neptune
727,0,tcp,http,358,normal
728,0,udp,domain_u,44,normal
729,0,tcp,http,282,normal
730,0,tcp,http,323,normal
731,0,udp,private,105,normal
732,0,tcp,http,218,normal
733,0,tcp,netstat,0,neptune
734,0,tcp,private,0,neptune
735,0,tcp,http,329,normal
736,0,tcp,smtp,788,normal
737,0,tcp,http,311,normal
738,0,tcp,private,0,neptune
739,0,tcp,uucp,0,neptune
740,0,tcp,pop_3,35,normal
741,0,icmp,ecr_i,1032,smurf
742,0,tcp,private,0,neptune
743,0,tcp,vmnet,0,neptune
744,0,tcp,ftp_data,59,normal
745,0,tcp,uucp,0,neptune
746,0,tcp,http,226,normal
747,0,tcp,http,203,normal
748,8,tcp,smtp,2544,normal
749,0,icmp,ecr_i,1032,smurf
750,0,tcp,http,327,normal
751,0,tcp,nnsp,0,neptune
752,0,tcp,name,0,neptune
753,0,tcp,http,0,normal
754,0,tcp,whois,0,neptune
755,0,tcp,netbios_dgm,0,neptune
756,0,tcp,http,54540,back
757,0,tcp,private,0,portsweep
758,0,tcp,gopher,0,neptune
759,0,udp,private,28,teardrop
760,0,icmp,eco_i,8,ipsweep
761,0,tcp,ftp_data,0,neptune
762,0,tcp,ssh,0,neptune
763,1,tcp,smtp,763,normal
764,0,tcp,iso_tsap,0,neptune
765,0,tcp,http,307,normal
766,0,tcp,domain,0,neptune
767,0,tcp,ftp,0,neptune
768,0,tcp,http,236,normal
769,0,tcp,ftp_data,246,warezclient
770,0,tcp,Z39_50,0,neptune
771,0,tcp,discard,0,neptune
772,0,tcp,auth,0,neptune
773,0,tcp,http,300,normal
774,0,tcp,http,254,normal
775,5753,udp,other,147,normal
776,0,tcp,private,0,neptune
777,17399,tcp,other,1,portsweep
778,0,tcp,ftp_data,334,warezclient
779,1,tcp,private,0,portsweep
780,31,tcp,ftp,1221,normal
781,0,tcp,hostnames,0,neptune
782,0,icmp,eco_i,8,ipsweep
783,0,tcp,http,299,normal
784,0,tcp,ftp_data,1874,normal
785,0,tcp,smtp,1301,normal
786,21263,tcp,private,1,portsweep
787,0,udp,domain_u,43,normal
788,0,icmp,ecr_i,1032,smurf
789,0,tcp,telnet,0,neptune
790,0,tcp,http,330,normal
791,0,tcp,ftp_data,0,neptune
792,0,tcp,http,302,normal
793,0,tcp,exec,0,neptune
794,0,tcp,link,0,neptune
795,0,tcp,finger,0,neptune
796,0,tcp,netstat,0,neptune
797,0,tcp,echo,0,neptune
798,0,tcp,http,284,normal
799,0,tcp,hostnames,0,neptune
800,0,tcp,ftp_data,12,normal
801,0,tcp,http,238,normal
802,1,tcp,smtp,1194,normal
803,0,tcp,other,6601,normal
804,0,tcp,ftp_data,12,normal
805,2,tcp,smtp,1452,normal
806,2,tcp,ftp_data,2194619,normal
807,0,tcp,private,0,neptune
808,0,tcp,Z39_50,0,portsweep
809,0,tcp,iso_tsap,0,neptune
810,0,tcp,http,240,normal
811,0,tcp,private,0,neptune
812,0,udp,domain_u,42,normal
813,0,tcp,courier,0,neptune
814,0,tcp,http,336,normal
815,3,tcp,smtp,11436,normal
816,0,tcp,ftp_data,0,neptune
817,0,tcp,http,195,normal
818,0,udp,other,516,normal
819,0,tcp,http,286,normal
820,0,tcp,gopher,0,neptune
821,0,tcp,http,215,normal
822,0,tcp,http,196,normal
823,5,tcp,smtp,722,normal
824,0,tcp,private,0,portsweep
825,0,tcp,name,0,neptune
826,0,tcp,http,214,normal
827,0,tcp,private,0,neptune
828,0,tcp,http,232,normal
829,0,tcp,http,224,normal
